name;code
"Beleuchterin";"002.018.011.002"
"Garderobier";"018.001"
"Garderobiere";"018.002"
"Filmtiertrainer";"024.008.004"
"Filmtiertrainerin";"024.019.005"
"Modezeichnerin";"008.570"
"Seifensieder";"033.005.013"
"Theateragentin";"002.006.009"
"Einzelhandelskauffrau";"018.156"
"Einzelhandelskauffrau";"018.118.001"
"Einzelhandelskauffrau";"019.119.004.004"
"Kauffrau im Einzelhandel";"018.156"
"Kauffrau im Einzelhandel";"018.118.001"
"Kauffrau im Einzelhandel";"019.119.004.004"
"Generalinquisitor";"022.065.001"
"Generalinquisitor";"020.065.001"
"Großinquisitor";"022.065.001"
"Großinquisitor";"020.065.001"
"Landschaftsplaner";"012.001"
"Landschaftsplanerin";"012.002"
"Theologe / Lutherische Kirche";"020.017.008"
"Lutherischer Theologe";"020.017.008"
"Theologin / Lutherische Kirche";"020.036.002"
"Lutherische Theologin";"020.036.002"
"Mundartforscherin";"014.005.026.040"
"Dialektologin";"014.005.026.040"
"Ghostwriterin";"003.011.002"
"Schattenriss / Künstlerin";"005.002.008"
"Silhouettenkünstlerin";"005.002.008"
"Silhouettistin";"005.002.008"
"Schattenrisskünstlerin";"005.002.008"
"Trapperin";"013.003.004.002"
"Postmeisterin";"010.070.012"
"Postmeisterin";"029.008.001"
"Postbeamtin";"010.070.012"
"Postbeamtin";"029.008.001"
"Hypnotherapeut";"028.026"
"Hypnotiseur";"028.026"
"Synchronregisseur";"002.018.003.528.701"
"Dialogregisseur";"002.018.003.528.701"
"Synchronregisseurin";"024.019.008.003"
"Dialogregisseurin";"024.019.008.003"
"Materialassistent";"024.008.002.001"
"Materialassistentin";"024.019.003.001"
"Kameraoperator";"024.008.005"
"Schwenker";"024.008.005"
"Kameraoperateur";"024.008.005"
"Kameraoperatorin";"024.019.006"
"Schwenkerin";"024.019.006"
"Kameraoperateurin";"024.019.006"
"Abteilungsleiterin";"022.014.007"
"Weinkellnerin";"018.046.001"
"Sommelière";"018.046.001"
"Auslagenarrangeurin";"033.201.130.128"
"Schaufensterdekorateurin";"033.201.130.128"
"Schaufenstergestalterin";"033.201.130.128"
"Schauwerbegestalterin";"033.201.130.128"
"Rettungshelfer";"011.005"
"Fachwirt im Sozial- und Gesundheitswesen";"022.010.006"
"Geprüfter Fachwirt im Sozial- und Gesundheitswesen";"022.010.006"
"Fachwirtin im Sozial- und Gesundheitswesen";"022.029.024"
"Geprüfte Fachwirtin im Sozial- und Gesundheitswesen";"022.029.024"
"Weibliche Lehrbeauftragte";"016.020.002"
"Diplom-Pädagogin";"016.015.010"
"Diplompädagogin";"016.015.010"
"Konsultor";"018.023.001"
"Gospelsong / Sängerin";"004.004.006.012"
"Gospelsängerin";"004.004.006.012"
"Translationswissenschaftlerin";"014.005.036"
"Übersetzungswissenschaftlerin";"014.005.036"
"Kirchenhistorikerin";"014.005.014.004"
"Privatdozentin";"016.020.004"
"Privatdozentin";"016.027.001"
"Ikonenmalerin";"005.002.009.001"
"Milchjunge";"019.101"
"Milchmann";"019.101"
"Einzelunternehmen <Einzelkauffrau>";"019.119.003"
"Personenunternehmen <Einzelkauffrau>";"019.119.003"
"Einzelkauffrau";"019.119.003"
"Ziegenhirtin";"013.001.048.001.003"
"Weibliche Verwaltungsfachangestellte";"022.007.001.008"
"Bibliographin";"003.001"
"Bibliografin";"003.001"
"ATA";"011.006"
"Anästhesietechnischer Assistent";"011.006"
"Fachlehrerin";"016.007.029"
"Geschichtslehrerin";"016.007.014"
"Literaturhistorikerin";"014.005.026.006.001"
"Literarhistorikerin";"014.005.026.006.001"
"Chemielehrerin";"016.007.010"
"Fahrzeugtechnikingenieur";"038.001.013"
"Ingenieur für Fahrzeugtechnik";"038.001.013"
"Kfz-Ingenieur";"038.001.013"
"Kraftfahrzeugingenieur";"038.001.013"
"Lektorin <Hochschule>";"016.020.001"
"Kirchenlehrerin";"020.036.001"
"Ethikerin";"014.005.012.002.001"
"Weibliche Militärgeistliche";"020.102.002"
"Weibliche Militärgeistliche";"020.109.001"
"Märchenforscherin";"014.041.010.001"
"Märchenforscherin";"014.005.030.004.002"
"Märchenforscherin";"014.041.010.002"
"Märchenforscherin";"014.005.026.006.002"
"Papyrologin";"014.005.014.012.001"
"Briefmarkensammlerin";"031.072.001"
"Philatelistin";"031.072.001"
"Controllerin";"022.001"
"Finder";"031.001"
"Vermesser";"014.001.002"
"Modelleur";"033.005.161"
"Münzherr";"010.010.100"
"Ideengeber";"031.002"
"Assistenzprofessorin";"016.020.003"
"Geigenlehrerin";"004.004.010.002"
"Violinpädagogin";"004.004.010.002"
"Violinlehrerin";"004.004.010.002"
"Altamerikanist";"014.008.001.007"
"Hydrologe";"014.001.023.011"
"Hydrologe";"014.005.023.001.002"
"Hydrologin";"014.040.029.001"
"Hydrologin";"014.005.024.002.012"
"Glaziologe";"014.001.023.012"
"Glaziologe";"014.005.023.001.014"
"Glaziologin";"014.040.029.008"
"Glaziologin";"014.005.024.002.005"
"Saz / Instrumentalmusiker";"004.002.003.036"
"Sazspieler";"004.002.003.036"
"Glaserin";"033.201.099"
"Bergbaugewerke";"032.100.002"
"Gewerke";"032.100.002"
"Theaterinspizient";"029.002"
"Inspizient";"029.002"
"Theaterinspizientin";"029.003"
"Inspizientin";"029.003"
"Bluesmusikerin";"004.004.014"
"Folkmusiker";"004.002.033"
"Flugsicherungs-Radartechniker";"022.019.008.002"
"Radartechniker";"022.019.008.002"
"Radarelektroniker";"022.019.008.002"
"Medienberater";"018.023.015"
"Alphorn / Instrumentalmusiker";"004.002.003.016.002.001"
"Alphornist";"004.002.003.016.002.001"
"Alphornbläser";"004.002.003.016.002.001"
"Fachgehilfin in steuer- und wirtschaftsberatenden Berufen";"029.004"
"Steuerfachgehilfin";"029.004"
"Steuergehilfin";"029.004"
"Weibliche Fachangestellte für steuer- und wirtschaftsberatende Berufe";"029.004"
"Weibliche Steuerfachangestellte";"029.004"
"Spiele-Autor";"003.002.006"
"Spieleautor";"003.002.006"
"Schmuckhändlerin";"019.103"
"Juwelierin";"019.103"
"Rektorin";"016.001"
"Sanitätsoffizierin";"011.025.008"
"Sanitätsoffizierin";"001.002.001"
"Truppenärztin";"011.025.008"
"Truppenärztin";"001.002.001"
"Militärärztin";"011.025.008"
"Militärärztin";"001.002.001"
"Hochschulassistentin";"016.026.001"
"Wissenschaftliche Assistentin";"016.026.001"
"Feldmarschalleutnant";"001.004.004.001"
"Feldmarschallleutnant";"001.004.004.001"
"Feldmarschall-Lieutenant";"001.004.004.001"
"Feldmarschall-Leutnant";"001.004.004.001"
"Kieferchirurg";"011.015.007.025.002"
"Managementwissenschaftler";"014.564"
"Managementwissenschaftlerin";"014.026"
"Managementwissenschaftlerin";"014.005.019"
"Fachwirt Veranstaltung";"022.010.007"
"Geprüfter Veranstaltungsfachwirt (IHK)";"022.010.007"
"Veranstaltungsfachwirt";"022.010.007"
"Fachwirtin Veranstaltung";"022.029.023"
"Geprüfte Veranstaltungsfachwirtin (IHK)";"022.029.023"
"Veranstaltungsfachwirtin";"022.029.023"
"Offizierin";"001.002"
"Seeoffizierin";"001.002.002"
"Marineoffizierin";"001.002.002"
"Instrumentenhersteller <Feinmechanik>";"007.001"
"Instrumentenmacher <Feinmechanik>";"007.001"
"Messinstrumentenbauer";"007.001"
"Messinstrumentenhersteller";"007.001"
"Instrumentenbauer <Feinmechanik>";"007.001"
"Instrumentenbauer";"007.001"
"Stadtrichter";"025.002.003.001"
"OTA";"011.007"
"Operationstechnischer Assistent";"011.007"
"Marketingberaterin";"018.003"
"Gemeindebeamtin";"029.008.002"
"Gemeindebeamtin";"010.070.008"
"Kommunalbeamtin";"029.008.002"
"Kommunalbeamtin";"010.070.008"
"Finanzverwaltung / Beamtin";"029.008.003"
"Finanzverwaltung / Beamtin";"010.070.009"
"Finanzbeamtin";"029.008.003"
"Finanzbeamtin";"010.070.009"
"Gesundheitswissenschaftler";"011.008"
"Gesundheitswissenschaftlerin";"014.005.013"
"Mediamatiker";"037.001"
"Mediamatikerin";"037.002"
"Rangerin";"013.026"
"Fachkraft für Metalltechnik - Fachrichtung Konstruktionstechnik";"007.522"
"Fachkraft für Metalltechnik - Fachrichtung Montagetechnik";"007.523"
"Fachkraft für Metalltechnik - Fachrichtung Zerspanungstechnik";"007.524"
"Fachpraktiker für Zerspanungsmechanik";"007.525"
"Schlepperfahrer <Motiv>";"036.001"
"Medizinhistoriker";"014.542.733"
