dc_identifier,gnd_identifier,alternate_name,abbreviated_name,place_name,preferred_name,variant_name,related_place_name,production_date,professional_relationship,biographical_information,subject_category,related_subject_heading,geographic_area_code,place_literal,place_gnd_identifier,hierarchical_place_name_literal,address_type,street_address,postal_code,geo_type,latitude,longitude,broader_term_instantial_literal,broader_term_instantial_gnd_identifier
d-5kixVi7F,None,Dorfkirche,Altwustrow,None,ALTWUSTROW / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Altwustrow,new,Lkr. Märkisch-Oderland.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-y9sY9vZJ,None,Stadtpfarrkirche Marien,Angermünde,None,ANGERMÜNDE / Ev. Stadtpfarrkirche St. Marien,Ev. Stadtpfarrkirche St. Marien, None,None,Person,None, None,None,None,Angermünde,4079777-6,Lkr. Uckermark.,PostalAddress,None,None,GeoCoordinates,None,None,Pfarrkirche,4136603-7
d-rXqXXGTx,None,Heilig-Geist-Kapelle,Angermünde,None,ANGERMÜNDE / Heilig-Geist-Kapelle,Heilig-Geist-Kapelle, None,None,Person,None, None,None,None,Angermünde,4079777-6,Lkr. Uckermark.,PostalAddress,Berliner Str. 1a,None,GeoCoordinates,None,None,Kapelle,4029551-5
d-K1F1Xjuf,None,Dorfkirche,Annenwalde,None,ANNENWALDE / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Annenwalde,1177403714,"Stadt Templin, Lkr. Uckermark.",PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-iIFVBwY5,None,Dorfkirche,Babben,None,BABBEN / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Babben,new,Lkr. Elbe-Elster.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-HRrik6f6,None,Pfarrkirche Bonifatius,Bad Belzig,None,BAD BELZIG / Kath. Pfarrkirche St. Bonifatius,Kath. Pfarrkirche St. Bonifatius, None,None,Person,None, None,None,None,Bad Belzig,4355517-2,Lkr. Potsdam-Mittelmark.,PostalAddress,Brücker Landstr. 1,None,GeoCoordinates,52.1416718,12.594393734164651,Pfarrkirche,4136603-7
d-cVqpsawM,4380417-2,Burg Eisenhardt,Bad Belzig,None,BAD BELZIG / Burg „Eisenhardt“,Burg „Eisenhardt“, None,None,Person,None, None,None,None,Bad Belzig,4355517-2,Lkr. Potsdam-Mittelmark.,PostalAddress,None,None,GeoCoordinates,52.1416718,12.594393734164651,Burg,4009104-1
d-vpcROe5A,None,Lungenheilanstalt,Bad Belzig,None,BAD BELZIG / Lungenheilanstalt,Lungenheilanstalt, None,None,Person,None," Hygiene, Gesundheitswesen",None,None,Bad Belzig,4355517-2,Lkr. Potsdam-Mittelmark.,PostalAddress,Hermann-Lielje-Str. 3,None,GeoCoordinates,52.1416718,12.594393734164651,Lungenheilstätte,4199849-2
d-qkWBHZkO,1080835598,Stadtpfarrkirche Nikolai,Bad Freienwalde oder,None,BAD FREIENWALDE (ODER) / Ev. Stadtpfarrkirche St. Nikolai,Ev. Stadtpfarrkirche St. Nikolai, None,None,Person,None, None,None,None,Bad Freienwalde (oder),4018298-8,Lkr. Märkisch-Oderland.,PostalAddress,None,None,GeoCoordinates,None,None,Pfarrkirche,4136603-7
d-RgCRvonP,None,Spitalkirche Georg,Bad Freienwalde oder,None,BAD FREIENWALDE (ODER) / Spitalkirche St. Georg,Spitalkirche St. Georg, None,None,Person,None, None,None,None,Bad Freienwalde (oder),4018298-8,Lkr. Märkisch-Oderland.,PostalAddress,Georgenkirchstraße,None,GeoCoordinates,None,None,Spitalkirche,4182375-8
d-KYnlhwdY,4554369-0,Königliches Schloss,Bad Freienwalde oder,None,BAD FREIENWALDE (ODER) / Königliches Schloss,Königliches Schloss, None,None,Person,None, None,None,None,Bad Freienwalde (oder),4018298-8,Lkr. Märkisch-Oderland.,PostalAddress,Rathenaustraße,None,GeoCoordinates,None,None,Schloss,4052753-0
d-oB0cxnAP,None,Badehaus,Bad Freienwalde oder,None,BAD FREIENWALDE (ODER) / Logier- und Badehaus,Logier- und Badehaus, None,None,Person,None, None,None,None,Bad Freienwalde (oder),4018298-8,Lkr. Märkisch-Oderland.,PostalAddress,Gesundbrunnenstr. 33a,None,GeoCoordinates,None,None,Badehaus,4638381-5
d-2OQkvqor,None,Reformierte Kirche,Altlandsberg,None,ALTLANDSBERG / Reformierte Kirche,Reformierte Kirche, None,None,Person,None, None,None,None,Altlandsberg,4347442-1,Lkr. Märkisch-Oderland.,PostalAddress,None,None,GeoCoordinates,None,None,Kirchenbau,4073436-5
d-nyUeHT3g,None,Stadtpfarrkirche Sebastian,Baruth,None,BARUTH/MARK / Ev. Stadtpfarrkirche St. Sebastian,Ev. Stadtpfarrkirche St. Sebastian, None,None,Person,None, None,None,None,Baruth/mark,4550655-3,Lkr. Teltow-Fläming.,PostalAddress,None,None,GeoCoordinates,None,None,Pfarrkirche,4136603-7
d-42EIqVyi,None,Dorfkirche,Wandlitz,None,BASDORF / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Wandlitz-basdorf,110505859X,Lkr. Barnim.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-V6U9F72G,4554390-2,Schloss,Baruth,None,BARUTH/MARK / Schloss,Schloss, None,None,Person,None, Architektur,None,None,Baruth/mark,4550655-3,Lkr. Teltow-Fläming.,PostalAddress,None,None,GeoCoordinates,None,None,Schloss,4052753-0
d-bXKnFwXZ,None,Stadtkirche Marien,Beelitz,None,BEELITZ / Ev. Stadtkirche St. Marien,Ev. Stadtkirche St. Marien, None,None,Person,None, None,None,None,Beelitz,4344126-9,Lkr. Potsdam-Mittelmark.,PostalAddress,None,None,GeoCoordinates,None,None,Kirchenbau,4073436-5
d-8DLUUipw,None,Amtsgericht,Beelitz,None,BEELITZ / Amtsgericht,Amtsgericht, None,None,Person,None, None,None,None,Beelitz,4344126-9,Lkr. Potsdam-Mittelmark.,PostalAddress,Clara-Zetkin-Str. 197,None,GeoCoordinates,None,None,Gerichtsgebäude,4206016-3
d-xqJcv41O,1045324426,Lungenheilstätte,Beelitz,None,BEELITZ-HEILSTÄTTEN / Lungenheilstätte,Lungenheilstätte, None,None,Person,None," Hygiene, Gesundheitswesen",None,None,Beelitz-heilstätten,1033681105,"Stadt Beelitz, Lkr. Potsdam-Mittelmark.",PostalAddress,None,None,GeoCoordinates,None,None,Lungenheilstätte,4199849-2
d-uNbJa8X9,4609112-9,Stadtpfarrkirche Marien,Beeskow,None,BEESKOW / Ev. Stadtpfarrkirche St. Marien,Ev. Stadtpfarrkirche St. Marien, None,None,Person,None, None,None,None,Beeskow,4344033-2,Lkr. Oder-Spree.,PostalAddress,None,None,GeoCoordinates,None,None,Pfarrkirche,4136603-7
d-PFpEzDHA,4722248-7,Burg,Beeskow,None,BEESKOW / Burg,Burg, None,None,Person,None," Militär,  Architektur",None,None,Beeskow,4344033-2,Lkr. Oder-Spree.,PostalAddress,Frankfurter Str. 23,None,GeoCoordinates,None,None,Burg,4009104-1
d-jLwRlX7q,None,Stadtpfarrkirche,Biesenthal,None,BIESENTHAL / Ev. Stadtpfarrkirche,Ev. Stadtpfarrkirche, None,None,Person,None, None,None,None,Biesenthal,4324983-8,Lkr. Barnim.,PostalAddress,None,None,GeoCoordinates,None,None,Pfarrkirche,4136603-7
d-SOLdUXAQ,None,Kirche Marien,Biesenthal,None,BIESENTHAL / Kath. Kirche St. Marien,Kath. Kirche St. Marien, None,None,Person,None, None,None,None,Biesenthal,4324983-8,Lkr. Barnim.,PostalAddress,Bahnhofstr. 162,None,GeoCoordinates,None,None,Kirchenbau,4073436-5
d-bCTyagJd,121140711X,Dorfkirche,Blankensee,None,BLANKENSEE / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Blankensee,4264263-2,"Stadt Trebbin, Lkr. Teltow-Fläming.",PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-gTFbE4J0,None,Dorfkirche,Bötzow,None,BÖTZOW / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Bötzow,7716750-8,Lkr. Oberhavel.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
