Datenlieferung
Abgebildete Personen ohne GND - Stiftung Schloss Friedenstein Gotha
Bibliotheksservice-Zentrum Baden-Württemberg (BSZ) / MusIS 2020 Q4 (Originale Lieferdaten)
Bibliotheksservice-Zentrum Baden-Württemberg (BSZ) / MusIS 2020 Q4 (Pre Processing)
Künstlerdatei-DDK
Künstlerdatei-LAD Bremen
Landesmuseum Württemberg 2020 Q4 (Originale Lieferdaten)
Landesmuseum Württemberg 2020 Q4 (Pre-Processing)
Testdatenset Münzherren (mit Datenkorrekturen) - Kenom
Testdatenset Münzherren (Original) - Kenom
Zentrales Kunstdepot 2020 Q4 (Originale Lieferdaten) - Städtische Museen Freiburg
